zip_code,city,region,date,max_temp_f,min_temp_f,condition
90045,Los Angeles,California,2026-04-16,69.1,53.6,Sunny
90045,Los Angeles,California,2026-04-17,73.9,54.5,Sunny
90045,Los Angeles,California,2026-04-18,73.4,58.7,Sunny
90045,Los Angeles,California,2026-04-19,67.4,54.7,Cloudy
90045,Los Angeles,California,2026-04-20,68.6,60.0,Sunny
90045,Los Angeles,California,2026-04-21,68.7,60.5,Sunny
90045,Los Angeles,California,2026-04-22,65.6,58.8,Patchy rain nearby
10001,New York,New York,2026-04-16,94.5,69.8,Sunny
10001,New York,New York,2026-04-17,77.7,64.1,Patchy rain nearby
10001,New York,New York,2026-04-18,66.4,48.4,Partly Cloudy
10001,New York,New York,2026-04-19,53.8,40.3,Heavy rain
10001,New York,New York,2026-04-20,50.8,39.9,Partly Cloudy
10001,New York,New York,2026-04-21,53.9,39.7,Sunny
10001,New York,New York,2026-04-22,71.2,52.5,Patchy rain nearby
60601,Chicago,Illinois,2026-04-16,62.1,46.8,Moderate rain
60601,Chicago,Illinois,2026-04-17,74.8,46.4,Patchy rain nearby
60601,Chicago,Illinois,2026-04-18,51.3,41.9,Heavy rain
60601,Chicago,Illinois,2026-04-19,46.0,36.7,Cloudy
60601,Chicago,Illinois,2026-04-20,54.3,41.4,Sunny
60601,Chicago,Illinois,2026-04-21,63.8,53.8,Patchy rain nearby
60601,Chicago,Illinois,2026-04-22,61.1,50.0,Patchy rain nearby
98101,Seattle,Washington,2026-04-16,55.6,35.2,Cloudy
98101,Seattle,Washington,2026-04-17,55.8,42.8,Partly Cloudy
98101,Seattle,Washington,2026-04-18,66.2,43.0,Overcast
98101,Seattle,Washington,2026-04-19,68.9,52.8,Partly Cloudy
98101,Seattle,Washington,2026-04-20,72.7,47.2,Sunny
98101,Seattle,Washington,2026-04-21,73.8,50.3,Sunny
98101,Seattle,Washington,2026-04-22,69.1,50.9,Partly Cloudy
33101,Miami,Florida,2026-04-16,86.4,70.9,Partly Cloudy
33101,Miami,Florida,2026-04-17,78.4,66.9,Partly Cloudy
33101,Miami,Florida,2026-04-18,78.3,72.5,Fog
33101,Miami,Florida,2026-04-19,79.5,72.1,Mist
33101,Miami,Florida,2026-04-20,79.8,74.8,Patchy rain nearby
33101,Miami,Florida,2026-04-21,75.6,71.9,Patchy rain nearby
33101,Miami,Florida,2026-04-22,74.3,68.8,Moderate rain
77001,Houston,Texas,2026-04-16,89.2,70.5,Patchy rain nearby
77001,Houston,Texas,2026-04-17,88.2,70.2,Partly Cloudy
77001,Houston,Texas,2026-04-18,84.0,57.2,Heavy rain
77001,Houston,Texas,2026-04-19,65.4,52.5,Patchy rain nearby
77001,Houston,Texas,2026-04-20,71.5,59.7,Moderate rain
77001,Houston,Texas,2026-04-21,69.7,63.7,Patchy rain nearby
77001,Houston,Texas,2026-04-22,81.8,65.6,Patchy rain nearby
85001,Phoenix,Arizona,2026-04-16,93.6,59.2,Sunny
85001,Phoenix,Arizona,2026-04-17,86.4,59.5,Sunny
85001,Phoenix,Arizona,2026-04-18,91.4,58.8,Sunny
85001,Phoenix,Arizona,2026-04-19,95.4,64.6,Sunny
85001,Phoenix,Arizona,2026-04-20,90.7,72.1,Sunny
85001,Phoenix,Arizona,2026-04-21,93.7,74.9,Sunny
85001,Phoenix,Arizona,2026-04-22,87.2,73.0,Partly Cloudy
19101,Philadelphia,Pennsylvania,2026-04-16,96.4,67.6,Sunny
19101,Philadelphia,Pennsylvania,2026-04-17,78.6,64.9,Partly Cloudy
19101,Philadelphia,Pennsylvania,2026-04-18,75.7,57.7,Overcast
19101,Philadelphia,Pennsylvania,2026-04-19,56.3,39.2,Moderate rain
19101,Philadelphia,Pennsylvania,2026-04-20,51.4,40.5,Partly Cloudy
19101,Philadelphia,Pennsylvania,2026-04-21,60.6,39.8,Sunny
19101,Philadelphia,Pennsylvania,2026-04-22,70.2,52.0,Patchy rain nearby
78201,San Antonio,Texas,2026-04-16,86.4,70.7,Partly Cloudy
78201,San Antonio,Texas,2026-04-17,83.8,69.4,Overcast
78201,San Antonio,Texas,2026-04-18,70.7,52.7,Patchy rain nearby
78201,San Antonio,Texas,2026-04-19,62.8,52.3,Moderate rain
78201,San Antonio,Texas,2026-04-20,58.7,56.6,Moderate rain
78201,San Antonio,Texas,2026-04-21,78.9,59.7,Patchy rain nearby
78201,San Antonio,Texas,2026-04-22,81.2,66.2,Patchy rain nearby
92101,San Diego,California,2026-04-16,71.2,54.3,Partly Cloudy
92101,San Diego,California,2026-04-17,74.5,55.9,Sunny
92101,San Diego,California,2026-04-18,76.6,57.2,Sunny
92101,San Diego,California,2026-04-19,68.7,55.4,Partly Cloudy
92101,San Diego,California,2026-04-20,70.0,61.5,Sunny
92101,San Diego,California,2026-04-21,70.0,62.0,Sunny
92101,San Diego,California,2026-04-22,65.8,60.7,Patchy rain nearby
75201,Dallas,Texas,2026-04-16,90.7,67.5,Sunny
75201,Dallas,Texas,2026-04-17,83.8,67.8,Overcast
75201,Dallas,Texas,2026-04-18,63.9,49.5,Patchy rain nearby
75201,Dallas,Texas,2026-04-19,78.6,48.4,Cloudy
75201,Dallas,Texas,2026-04-20,64.0,54.1,Patchy rain nearby
75201,Dallas,Texas,2026-04-21,66.7,56.4,Patchy rain nearby
75201,Dallas,Texas,2026-04-22,81.8,64.2,Patchy rain nearby
95101,San Jose,California,2026-04-16,76.1,50.0,Sunny
95101,San Jose,California,2026-04-17,73.9,45.5,Sunny
95101,San Jose,California,2026-04-18,73.8,50.7,Overcast
95101,San Jose,California,2026-04-19,71.2,53.4,Cloudy
95101,San Jose,California,2026-04-20,76.2,47.2,Sunny
95101,San Jose,California,2026-04-21,57.6,48.5,Moderate rain
95101,San Jose,California,2026-04-22,62.7,46.4,Patchy rain nearby
78701,Austin,Texas,2026-04-16,88.2,69.3,Partly Cloudy
78701,Austin,Texas,2026-04-17,86.0,69.4,Overcast
78701,Austin,Texas,2026-04-18,69.3,51.8,Moderate rain
78701,Austin,Texas,2026-04-19,70.2,52.3,Moderate rain
78701,Austin,Texas,2026-04-20,59.5,56.6,Moderate rain
78701,Austin,Texas,2026-04-21,72.2,60.7,Patchy rain nearby
78701,Austin,Texas,2026-04-22,82.6,64.8,Patchy rain nearby
30301,Atlanta,Georgia,2026-04-16,89.4,57.7,Sunny
30301,Atlanta,Georgia,2026-04-17,88.3,61.2,Sunny
30301,Atlanta,Georgia,2026-04-18,81.0,68.0,Overcast
30301,Atlanta,Georgia,2026-04-19,63.0,49.8,Overcast
30301,Atlanta,Georgia,2026-04-20,76.3,51.8,Sunny
30301,Atlanta,Georgia,2026-04-21,74.9,57.2,Sunny
30301,Atlanta,Georgia,2026-04-22,77.7,60.2,Cloudy
28201,Charlotte,North Carolina,2026-04-16,92.5,60.6,Sunny
28201,Charlotte,North Carolina,2026-04-17,90.9,63.0,Sunny
28201,Charlotte,North Carolina,2026-04-18,87.4,69.8,Sunny
28201,Charlotte,North Carolina,2026-04-19,69.3,52.3,Overcast
28201,Charlotte,North Carolina,2026-04-20,71.8,46.1,Sunny
28201,Charlotte,North Carolina,2026-04-21,74.8,47.0,Sunny
28201,Charlotte,North Carolina,2026-04-22,76.7,56.9,Patchy rain nearby
80201,Denver,Colorado,2026-04-16,76.1,42.4,Sunny
80201,Denver,Colorado,2026-04-17,41.5,32.5,Overcast
80201,Denver,Colorado,2026-04-18,58.3,30.4,Sunny
80201,Denver,Colorado,2026-04-19,72.7,31.3,Sunny
80201,Denver,Colorado,2026-04-20,74.9,48.0,Overcast
80201,Denver,Colorado,2026-04-21,77.5,51.7,Sunny
80201,Denver,Colorado,2026-04-22,80.9,56.4,Sunny
37201,Nashville,Tennessee,2026-04-16,87.3,64.2,Patchy rain nearby
37201,Nashville,Tennessee,2026-04-17,87.1,61.2,Patchy rain nearby
37201,Nashville,Tennessee,2026-04-18,76.6,47.7,Heavy rain
37201,Nashville,Tennessee,2026-04-19,67.6,43.9,Moderate rain
37201,Nashville,Tennessee,2026-04-20,72.9,47.2,Sunny
37201,Nashville,Tennessee,2026-04-21,74.2,54.0,Overcast
37201,Nashville,Tennessee,2026-04-22,72.8,59.3,Patchy rain nearby
97201,Portland,Oregon,2026-04-16,51.6,37.2,Patchy rain nearby
97201,Portland,Oregon,2026-04-17,56.5,39.0,Cloudy
97201,Portland,Oregon,2026-04-18,65.8,46.6,Partly Cloudy
97201,Portland,Oregon,2026-04-19,74.3,55.2,Overcast
97201,Portland,Oregon,2026-04-20,74.8,49.4,Partly Cloudy
97201,Portland,Oregon,2026-04-21,73.3,52.1,Patchy rain nearby
97201,Portland,Oregon,2026-04-22,66.5,48.6,Partly Cloudy
89101,Las Vegas,Nevada,2026-04-16,90.1,62.2,Sunny
89101,Las Vegas,Nevada,2026-04-17,69.6,47.3,Sunny
89101,Las Vegas,Nevada,2026-04-18,76.1,45.1,Sunny
89101,Las Vegas,Nevada,2026-04-19,84.7,54.3,Sunny
89101,Las Vegas,Nevada,2026-04-20,87.1,58.5,Sunny
89101,Las Vegas,Nevada,2026-04-21,87.3,61.6,Partly Cloudy
89101,Las Vegas,Nevada,2026-04-22,76.8,57.5,Sunny
63101,Saint Louis,Missouri,2026-04-16,84.9,59.5,Moderate rain
63101,Saint Louis,Missouri,2026-04-17,87.6,60.6,Sunny
63101,Saint Louis,Missouri,2026-04-18,62.8,43.5,Heavy rain
63101,Saint Louis,Missouri,2026-04-19,65.1,42.8,Sunny
63101,Saint Louis,Missouri,2026-04-20,75.9,50.2,Sunny
63101,Saint Louis,Missouri,2026-04-21,73.2,54.6,Partly Cloudy
63101,Saint Louis,Missouri,2026-04-22,78.0,59.3,Patchy rain nearby
